Time [s]	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
9319.462	0.0542	0.0557	0.0548	0.0547	0.0696	0.0811	0.0551	0.0548	0.0558	0.0558	0.0559	0.0601	0.055	0.0547	0.0559	0.0556	0.0552	0.0478	0.0546	0.0553	0.0769	0.1673	0.0546	0.0541	0.0879	0.0543	0.0548	0.048	0.0647	0.0481	0.0546	0.0557	0.0753	0.0784	0.0763	0.0545	0.0544	0.0547	0.0542	0.0549	0.0811	0.0948	0.0543	0.0544	0.0544	0.0546	0.0548	0.0544	0.0765	0.1739	0.054	0.0543	0.0543	0.0782	0.0551	0.0549	0.0557	0.0545	0.0547	0.0734	0.0543	0.0881	0.0545	0.0546	0.0545	0.09	0.0544	0.0548	0.0787	0.0551	0.0546	0.0546	0.0549	0.0742	0.0544	0.0558	0.0755	0.0543	0.0544	0.0559	0.0555	0.0551	0.0557	0.0547	0.0545	0.0548	0.0554	0.0557	0.1723	0.0869	0.0542	0.0541	0.0563	0.0548	0.0546	0.0548
10252.014	0.0543	0.0558	0.0548	0.0548	0.0705	0.0814	0.0552	0.0549	0.0558	0.0559	0.056	0.06	0.0551	0.0548	0.056	0.0556	0.0554	0.0478	0.0547	0.0554	0.0773	0.1571	0.0547	0.0542	0.0885	0.0544	0.0548	0.048	0.0649	0.0475	0.0547	0.0557	0.0752	0.0787	0.0769	0.0545	0.0544	0.0547	0.0541	0.055	0.0806	0.0948	0.0546	0.0544	0.0544	0.0546	0.055	0.0545	0.0774	0.1809	0.0542	0.0542	0.0543	0.0783	0.0551	0.0548	0.0557	0.0546	0.0547	0.0735	0.0542	0.0893	0.0545	0.0547	0.0547	0.0906	0.0544	0.0549	0.0788	0.0551	0.0546	0.0547	0.055	0.0743	0.0544	0.0558	0.0767	0.0544	0.0545	0.0559	0.0556	0.0552	0.0558	0.0547	0.0546	0.055	0.0555	0.0556	0.164	0.0876	0.0545	0.0543	0.0562	0.0547	0.0546	0.0547
11184.588	0.0542	0.0558	0.0549	0.0549	0.0707	0.0811	0.0552	0.0549	0.0559	0.056	0.056	0.06	0.055	0.0546	0.0559	0.0555	0.0554	0.048	0.0547	0.0554	0.0772	0.1522	0.0548	0.0543	0.087	0.0544	0.0548	0.0481	0.0649	0.0477	0.0545	0.0557	0.0751	0.0785	0.0764	0.0546	0.0543	0.0546	0.0542	0.0551	0.0799	0.0938	0.0545	0.0545	0.0545	0.0547	0.0548	0.0544	0.077	0.1596	0.0541	0.0543	0.054	0.0779	0.055	0.0549	0.0556	0.0547	0.0547	0.0734	0.0544	0.0876	0.0545	0.0548	0.0547	0.0896	0.0544	0.055	0.0784	0.055	0.0547	0.0548	0.0549	0.0742	0.0545	0.0559	0.0766	0.0545	0.0544	0.0559	0.0556	0.0551	0.0556	0.0547	0.0546	0.0549	0.0556	0.0558	0.1592	0.0874	0.0545	0.0542	0.0564	0.0549	0.0548	0.0548
12117.091	0.0543	0.0556	0.0547	0.0546	0.0709	0.0812	0.0551	0.0548	0.0558	0.0558	0.0559	0.06	0.0551	0.0546	0.0559	0.0554	0.0553	0.0479	0.0544	0.0554	0.0768	0.1517	0.0545	0.054	0.0868	0.0544	0.0547	0.0479	0.0646	0.0475	0.0548	0.0556	0.0748	0.0789	0.0772	0.0543	0.0543	0.0545	0.0543	0.0549	0.0802	0.0939	0.0543	0.0543	0.0544	0.0546	0.0548	0.0543	0.077	0.1705	0.0541	0.0543	0.0543	0.0782	0.055	0.055	0.0556	0.0544	0.0547	0.0735	0.0543	0.0879	0.0544	0.0546	0.0546	0.0901	0.0543	0.0546	0.0788	0.0551	0.0546	0.0547	0.0547	0.0741	0.0542	0.0558	0.0771	0.0542	0.0543	0.0559	0.0555	0.0551	0.0557	0.0548	0.0546	0.0547	0.0554	0.0556	0.1588	0.0879	0.0542	0.0543	0.0562	0.0547	0.0545	0.0546
13049.58	0.0542	0.0557	0.0548	0.0547	0.0713	0.0809	0.0551	0.055	0.056	0.056	0.056	0.0599	0.055	0.0546	0.0559	0.0557	0.0554	0.0478	0.0546	0.0555	0.0768	0.151	0.0545	0.0541	0.0869	0.0546	0.0548	0.0479	0.0648	0.0475	0.0547	0.0557	0.0751	0.0794	0.0772	0.0544	0.0544	0.0546	0.0541	0.055	0.0805	0.0941	0.0545	0.0544	0.0545	0.0545	0.0548	0.0545	0.0776	0.1618	0.0541	0.0543	0.0541	0.0781	0.0551	0.0549	0.0558	0.0547	0.0546	0.0734	0.0544	0.0884	0.0545	0.0546	0.0546	0.0903	0.0543	0.0548	0.0788	0.0551	0.0546	0.0548	0.0549	0.0742	0.0545	0.056	0.0782	0.0544	0.0545	0.0559	0.0553	0.055	0.0557	0.0546	0.0545	0.0547	0.0554	0.0558	0.1666	0.0874	0.0543	0.0543	0.0561	0.0548	0.0546	0.0547
13982.062	0.0541	0.0558	0.0549	0.0548	0.072	0.0811	0.0552	0.0549	0.0559	0.0558	0.056	0.06	0.055	0.0547	0.0561	0.0557	0.0554	0.0477	0.0547	0.0555	0.0771	0.1504	0.0547	0.054	0.0868	0.0544	0.055	0.0483	0.0648	0.0474	0.0549	0.0556	0.075	0.0794	0.0773	0.0544	0.0543	0.0547	0.0543	0.055	0.0808	0.0947	0.0545	0.0544	0.0544	0.0546	0.0549	0.0544	0.0785	0.1666	0.0542	0.0542	0.0541	0.0787	0.055	0.0549	0.0558	0.0546	0.0547	0.0736	0.0543	0.0879	0.0545	0.0547	0.0547	0.0905	0.0544	0.0549	0.0791	0.055	0.0547	0.0548	0.055	0.0742	0.0544	0.0558	0.0787	0.0544	0.0545	0.0559	0.0556	0.0551	0.0557	0.0546	0.0546	0.0549	0.0555	0.0558	0.1714	0.0878	0.0543	0.0543	0.0564	0.0549	0.0546	0.0547
14914.468	0.0543	0.0557	0.0547	0.0546	0.0713	0.0797	0.0552	0.0548	0.0559	0.0558	0.056	0.06	0.0551	0.0547	0.0558	0.0556	0.0554	0.0478	0.0545	0.0554	0.0764	0.1508	0.0547	0.0541	0.0858	0.0542	0.0549	0.048	0.0649	0.0475	0.0547	0.0558	0.0745	0.0788	0.0766	0.0545	0.0543	0.0545	0.0542	0.0549	0.0801	0.0934	0.0544	0.0544	0.0544	0.0545	0.0548	0.0545	0.0782	0.1642	0.0542	0.0543	0.0542	0.0782	0.0549	0.0549	0.0557	0.0546	0.0547	0.0734	0.0541	0.0882	0.0545	0.0544	0.0548	0.0904	0.0544	0.0549	0.079	0.0551	0.0547	0.0546	0.055	0.074	0.0543	0.056	0.0787	0.0544	0.0543	0.0559	0.0554	0.0552	0.0558	0.0548	0.0545	0.0548	0.0555	0.0558	0.1645	0.0877	0.0544	0.0544	0.0562	0.0548	0.0545	0.0547
15846.996	0.0542	0.0556	0.0548	0.0546	0.0725	0.0801	0.0551	0.0549	0.0558	0.0559	0.056	0.06	0.0551	0.0545	0.0558	0.0557	0.0554	0.0478	0.0547	0.0555	0.0761	0.1507	0.0547	0.0541	0.0853	0.0545	0.0548	0.0482	0.0648	0.0477	0.0546	0.0556	0.0749	0.0792	0.0773	0.0544	0.0542	0.0546	0.0542	0.0549	0.0799	0.0931	0.0546	0.0544	0.0545	0.0546	0.0549	0.0544	0.0781	0.1675	0.0542	0.0541	0.0541	0.078	0.055	0.055	0.0557	0.0545	0.0547	0.0734	0.0543	0.0868	0.0544	0.0545	0.0546	0.09	0.0543	0.0548	0.0788	0.0551	0.0547	0.0546	0.0548	0.074	0.0544	0.0558	0.08	0.0543	0.0542	0.0559	0.0554	0.0549	0.0557	0.0547	0.0545	0.0548	0.0554	0.0558	0.1612	0.0879	0.0545	0.0542	0.0564	0.0546	0.0546	0.0547
16779.359	0.0543	0.0556	0.0549	0.0547	0.0726	0.0801	0.0551	0.0549	0.0558	0.0559	0.056	0.0599	0.055	0.0547	0.056	0.0555	0.0553	0.0478	0.0546	0.0554	0.0765	0.1489	0.0547	0.0542	0.0866	0.0543	0.0549	0.0482	0.0648	0.0475	0.0547	0.0555	0.0749	0.0792	0.077	0.0544	0.0544	0.0547	0.0542	0.055	0.0805	0.0937	0.0545	0.0545	0.0544	0.0547	0.0548	0.0544	0.0802	0.1805	0.0542	0.0542	0.0542	0.0792	0.055	0.0548	0.0557	0.0547	0.0546	0.0735	0.0543	0.0886	0.0545	0.0547	0.0546	0.091	0.0544	0.0548	0.0796	0.0551	0.0546	0.0547	0.0549	0.0739	0.0543	0.0558	0.0808	0.0543	0.0543	0.0559	0.0553	0.0552	0.0557	0.0547	0.0545	0.0547	0.0555	0.0557	0.1584	0.0882	0.0543	0.0541	0.0561	0.0548	0.0546	0.0547
17711.857	0.0542	0.0556	0.0548	0.0548	0.0744	0.0804	0.0551	0.0548	0.0559	0.0558	0.0559	0.06	0.0552	0.0547	0.056	0.0555	0.0555	0.0477	0.0547	0.0555	0.0757	0.1458	0.0547	0.0542	0.0848	0.0544	0.055	0.0483	0.0647	0.0475	0.0547	0.0557	0.0747	0.0791	0.0768	0.0545	0.0544	0.0548	0.0542	0.055	0.0798	0.0925	0.0545	0.0545	0.0545	0.0545	0.0549	0.0545	0.0804	0.1604	0.0542	0.0543	0.0544	0.0781	0.0551	0.0547	0.0558	0.0544	0.0545	0.0733	0.0543	0.0874	0.0545	0.0547	0.0547	0.0902	0.0543	0.0547	0.0787	0.055	0.0547	0.0547	0.055	0.0739	0.0544	0.0559	0.0814	0.0543	0.0543	0.056	0.0555	0.0551	0.0558	0.0548	0.0546	0.0549	0.0557	0.0559	0.159	0.0879	0.0544	0.0543	0.0563	0.055	0.0546	0.0549
