Sample,OD600,Time_s
P21.F9_noMC,0.8135,55943.634
P21.F9_noMC,0.8216,56876.186
P21.F9_noMC,0.8223,57808.624
P21.F9_noMC,0.8245,58741.026
P21.F9_noMC,0.8267,59673.323
P21.F9_noMC,0.8278,60605.752
P21.F9_noMC,0.8315,61538.212
P21.F9_noMC,0.836,62470.619
P21.F9_noMC,0.8397,63403.101
P21.F9_noMC,0.841,64335.647
P21.F9_noMC,0.8443,65268.122
P21.F9_noMC,0.8468,66200.595
P21.F9_noMC,0.8484,67133.085
P21.F9_noMC,0.851,68065.552
P21.F9_noMC,0.8543,68998.018
P21.F9_noMC,0.8541,69930.555
P21.F9_noMC,0.8554,70863.021
P21.F9_noMC,0.8582,71795.421
P21.F9_noMC,0.8605,72727.925
P21.F9_noMC,0.8695,73660.508
P21.F9_noMC,0.1204,0
P21.F9_noMC,0.107,927.268
P21.F9_noMC,0.1051,1859.687
P21.F9_noMC,0.1088,2792.16
P21.F9_noMC,0.1127,3724.632
P21.F9_noMC,0.1159,4657.102
P21.F9_noMC,0.12,5589.631
P21.F9_noMC,0.1266,6522.193
P21.F9_noMC,0.1402,7454.487
P21.F9_noMC,0.1568,8386.937
P21.F9_noMC,0.1751,9319.439
P21.F9_noMC,0.194,10251.889
P21.F9_noMC,0.2184,11184.439
P21.F9_noMC,0.2399,12116.883
P21.F9_noMC,0.2616,13049.281
P21.F9_noMC,0.2766,13981.655
P21.F9_noMC,0.2874,14914.142
P21.F9_noMC,0.3013,15846.702
P21.F9_noMC,0.3123,16779.28
P21.F9_noMC,0.3288,17711.855
P21.F9_noMC,0.3438,18644.329
P21.F9_noMC,0.3498,19576.844
P21.F9_noMC,0.3713,20509.373
P21.F9_noMC,0.3809,21441.922
P21.F9_noMC,0.3828,22374.504
P21.F9_noMC,0.4126,23307.015
P21.F9_noMC,0.4268,24239.47
P21.F9_noMC,0.4365,25171.902
P21.F9_noMC,0.4507,26104.468
P21.F9_noMC,0.454,27037.057
P21.F9_noMC,0.4677,27969.65
P21.F9_noMC,0.4775,28902.088
P21.F9_noMC,0.4916,29834.682
P21.F9_noMC,0.508,30767.242
P21.F9_noMC,0.5098,31699.776
P21.F9_noMC,0.5227,32632.176
P21.F9_noMC,0.525,33564.472
P21.F9_noMC,0.5301,34496.941
P21.F9_noMC,0.5376,35429.418
P21.F9_noMC,0.5455,36361.963
P21.F9_noMC,0.5393,37294.415
P21.F9_noMC,0.5501,38226.892
P21.F9_noMC,0.5328,39159.364
P21.F9_noMC,0.5409,40091.808
P21.F9_noMC,0.5428,41024.249
P21.F9_noMC,0.5462,41956.683
P21.F9_noMC,0.5568,42889.133
P21.F9_noMC,0.5594,43821.583
P21.F9_noMC,0.5591,44754.073
P21.F9_noMC,0.5589,45686.536
P21.F9_noMC,0.5598,46618.992
P21.F9_noMC,0.5608,47551.547
P21.F9_noMC,0.5593,48483.921
P21.F9_noMC,0.5605,49416.364
P21.F9_noMC,0.5602,50348.834
P21.F9_noMC,0.5632,51281.358
P21.F9_noMC,0.5634,52213.762
P21.F9_noMC,0.5649,53146.312
P21.F9_noMC,0.5643,54078.693
P21.F9_noMC,0.5638,55011.144
