"","genome_ID","total_n","total_seq_bp","avg_seq_bp","median_seq_bp","N50_bp","min_seq_bp","max_seq_bp"
"27","plate11.C1.pilon.contigs_renamed.fasta",76,5956804,78379,313.5,639929,128,2235221
"28","plate11.C2.pilon.contigs_renamed.fasta",48,5949163,123940.9,367,730422,128,2424155
"30","plate11.C4.pilon.contigs_renamed.fasta",52,5950752,114437.54,51993.5,256697,128,694297
"31","plate11.C5.pilon.contigs_renamed.fasta",203,6037108,29739.45,352,241192,128,543375
"32","plate11.C6.pilon.contigs_renamed.fasta",195,4853911,24891.85,333,537018,128,774657
"33","plate11.C7.pilon.contigs_renamed.fasta",202,6345754,31414.62,362,290973,128,617647
"34","plate11.C8.pilon.contigs_renamed.fasta",40,5922254,148056.35,2618,694707,128,1071220
"35","plate11.C9.pilon.contigs_renamed.fasta",76,5968037,78526.8,18893.5,212131,128,380498
"36","plate11.D1.pilon.contigs_renamed.fasta",43,5972422,138893.53,3342,693715,128,1252958
"37","plate11.D2.pilon.contigs_renamed.fasta",45,5968169,132625.98,1971,491302,128,748379
"38","plate11.D3.pilon.contigs_renamed.fasta",259,6616892,25547.85,361,252345,128,893377
"41","plate11.D8.pilon.contigs_renamed.fasta",64,5983930,93498.91,42255.5,231211,128,764110
"42","plate11.D9.pilon.contigs_renamed.fasta",61,5980273,98037.26,68458,227849,128,518708
"43","plate11.E10.pilon.contigs_renamed.fasta",33,6080472,184256.73,383,890405,128,1437268
"44","plate11.E11.pilon.contigs_renamed.fasta",233,5911310,25370.43,340,694153,128,1655321
"45","plate11.E1.pilon.contigs_renamed.fasta",37,5925889,160159.16,339,763631,128,1103428
"46","plate11.E2.pilon.contigs_renamed.fasta",50,5966705,119334.1,38605,310875,128,748379
"50","plate11.E7.pilon.contigs_renamed.fasta",70,5982325,85461.79,46338.5,189525,128,411658
"51","plate11.E8.pilon.contigs_renamed.fasta",48,5986152,124711.5,14284,442805,128,768742
"52","plate11.E9.pilon.contigs_renamed.fasta",67,6074150,90658.96,40673,196739,128,584227
"53","plate11.F10.pilon.contigs_renamed.fasta",66,5982326,90641.3,341,655410,128,1386342
"55","plate11.F1.pilon.contigs_renamed.fasta",468,5573944,11910.14,341,306087,128,760847
"56","plate11.F2.pilon.contigs_renamed.fasta",112,6011652,53675.46,489.5,282260,128,642221
"57","plate11.F3.pilon.contigs_renamed.fasta",83,5988828,72154.55,356,1054480,128,1253502
"60","plate11.F8.pilon.contigs_renamed.fasta",72,5981513,83076.57,472.5,462019,128,777117
"61","plate11.F9.pilon.contigs_renamed.fasta",228,6770419,29694.82,334.5,377920,128,668715
"62","plate11.G10.pilon.contigs_renamed.fasta",222,6105635,27502.86,324,689576,128,985577
"63","plate11.G11.pilon.contigs_renamed.fasta",229,6124775,26745.74,330,879695,128,1277776
"64","plate11.G1.pilon.contigs_renamed.fasta",938,6243833,6656.54,343,362915,128,759054
"65","plate11.G2.pilon.contigs_renamed.fasta",2047,5335733,2606.61,349,455334,128,732656
"66","plate11.G3.pilon.contigs_renamed.fasta",1641,6866515,4184.35,352,397079,128,649416
"67","plate11.G4.pilon.contigs_renamed.fasta",79,6100297,77218.95,320,787906,128,2038899
"68","plate11.G5.pilon.contigs_renamed.fasta",291,5969629,20514.19,344,362915,128,758946
"69","plate11.G7.pilon.contigs_renamed.fasta",100,6079991,60799.91,356.5,338842,128,778206
"70","plate11.G8.pilon.contigs_renamed.fasta",180,5979508,33219.49,341,463625,128,706111
"72","plate11.H10.pilon.contigs_renamed.fasta",112,6069362,54190.73,332,689576,128,1262908
"73","plate11.H11.pilon.contigs_renamed.fasta",625,6699729,10719.57,340,218547,128,761229
"74","plate11.H12.pilon.contigs_renamed.fasta",139,6117041,44007.49,340,391269,128,1327703
"75","plate11.H1.pilon.contigs_renamed.fasta",449,6052783,13480.59,341,286264,128,759054
"76","plate11.H3.pilon.contigs_renamed.fasta",1303,4996780,3834.83,342,666335,128,1256889
"77","plate11.H4.pilon.contigs_renamed.fasta",54,6066716,112346.59,463.5,417066,128,854305
"78","plate11.H5.pilon.contigs_renamed.fasta",174,5919177,34018.26,370,265622,128,751821
"79","plate11.H6.pilon.contigs_renamed.fasta",74,6111732,82590.97,3836,208261,128,800101
"80","plate11.H7.pilon.contigs_renamed.fasta",67,6070304,90601.55,390,404130,128,866692
"81","plate11.H8.pilon.contigs_renamed.fasta",110,5955886,54144.42,360,379618,128,610688
"82","plate11.H9.pilon.contigs_renamed.fasta",91,6032648,66292.84,373,514186,128,776331
"83","plate12.A10.pilon.contigs_renamed.fasta",81,5986817,73911.32,1183,382602,128,875581
"84","plate12.A11.pilon.contigs_renamed.fasta",65,6141010,94477.08,341,476361,128,930750
"86","plate12.A2.pilon.contigs_renamed.fasta",59,6027874,102167.36,411,548429,128,811801
"87","plate12.A5.pilon.contigs_renamed.fasta",70,5840650,83437.86,25361,249400,128,606961
"88","plate12.A6.pilon.contigs_renamed.fasta",49,5943908,121304.24,55564,320807,128,1378058
"89","plate12.A7.pilon.contigs_renamed.fasta",52,6001909,115421.33,1212.5,673048,128,931900
"92","plate12.B10.pilon.contigs_renamed.fasta",87,5990964,68861.66,408,447110,128,903595
"93","plate12.B11.pilon.contigs_renamed.fasta",76,6143518,80835.76,372.5,538042,128,820880
"94","plate12.B1.pilon.contigs_renamed.fasta",102,6024362,59062.37,11221,166260,128,811804
"95","plate12.B2.pilon.contigs_renamed.fasta",82,6035236,73600.44,401.5,527446,128,812014
"96","plate12.B3.pilon.contigs_renamed.fasta",101,5956510,58975.35,390,369550,128,1321687
"98","plate12.B6.pilon.contigs_renamed.fasta",60,5949281,99154.68,478,393614,128,960791
"99","plate12.B7.pilon.contigs_renamed.fasta",214,6063907,28336.01,362.5,855943,128,1374265
"102","plate12.C10.pilon.contigs_renamed.fasta",67,5953837,88863.24,401,319359,128,640179
"103","plate12.C11.pilon.contigs_renamed.fasta",628,5894267,9385.78,337,400686,128,993674
"104","plate12.C1.pilon.contigs_renamed.fasta",71,5974702,84150.73,5588,333704,128,597328
"105","plate12.C2.pilon.contigs_renamed.fasta",61,5990004,98196.79,1436,497886,128,690232
"106","plate12.C3.pilon.contigs_renamed.fasta",92,5924418,64395.85,16623,186791,128,950103
"108","plate12.C6.pilon.contigs_renamed.fasta",46,5841607,126991.46,2559,340062,128,719114
"109","plate12.C7.pilon.contigs_renamed.fasta",69,5897606,85472.55,23288,222277,128,514095
