"","genome_ID","total_n","total_seq_bp","avg_seq_bp","median_seq_bp","N50_bp","min_seq_bp","max_seq_bp"
"314","plate1.H2.pilon.contigs_renamed.fasta",609,6510854,10691.06,377,890178,128,1437556
"315","plate1.H3.pilon.contigs_renamed.fasta",77,5968354,77511.09,513,255489,128,546010
"316","plate1.H4.pilon.contigs_renamed.fasta",80,5977358,74716.98,1751,236107,128,782462
"317","plate1.H5.pilon.contigs_renamed.fasta",41,5945048,145001.17,1201,670411,128,2390989
"318","plate1.H6.pilon.contigs_renamed.fasta",43,5946170,138283.02,631,587465,128,1170116
"319","plate1.H7.pilon.contigs_renamed.fasta",24,6075691,253153.79,191428,528649,128,890147
"320","plate1.H8.pilon.contigs_renamed.fasta",308,6395608,20764.96,345.5,431590,128,778409
"321","plate1.H9.pilon.contigs_renamed.fasta",84,6242601,74316.68,3025.5,249621,128,575709
"322","plate20.A10.pilon.contigs_renamed.fasta",285,5980103,20982.82,336,652811,128,1691971
"323","plate20.A11.pilon.contigs_renamed.fasta",64,5976752,93386.75,1796.5,448870,128,776809
"324","plate20.A12.pilon.contigs_renamed.fasta",48,6062378,126299.54,1142.5,525939,128,1426916
"325","plate20.A1.pilon.contigs_renamed.fasta",76,5957957,78394.17,366.5,616684,128,1470166
"326","plate20.A2.pilon.contigs_renamed.fasta",101,6005782,59463.19,760,246414,128,642221
"327","plate20.A3.pilon.contigs_renamed.fasta",64,5978111,93407.98,394,543055,128,858882
"328","plate20.A4.pilon.contigs_renamed.fasta",43,6080837,141414.81,1712,602162,128,1188555
"329","plate20.A5.pilon.contigs_renamed.fasta",98,5986509,61086.83,6730,181969,128,663054
"330","plate20.A7.pilon.contigs_renamed.fasta",91,5998508,65917.67,1327,322828,128,670085
"331","plate20.A8.pilon.contigs_renamed.fasta",76,5880823,77379.25,15522.5,224215,128,575663
"332","plate20.B10.pilon.contigs_renamed.fasta",238,5963207,25055.49,351,432571,128,893116
"333","plate20.B11.pilon.contigs_renamed.fasta",64,5975809,93372.02,2248,448870,128,725721
"334","plate20.B12.pilon.contigs_renamed.fasta",55,6062588,110228.87,631,311339,128,822019
"335","plate20.B1.pilon.contigs_renamed.fasta",70,5956807,85097.24,346.5,729617,128,1770336
"336","plate20.B2.pilon.contigs_renamed.fasta",114,6002386,52652.51,4108.5,187860,128,546784
"337","plate20.B3.pilon.contigs_renamed.fasta",73,5980647,81926.67,559,397999,128,593566
"338","plate20.B4.pilon.contigs_renamed.fasta",39,6081258,155929.69,688,626684,128,1270368
"340","plate20.B7.pilon.contigs_renamed.fasta",87,5989800,68848.28,22607,186513,128,470726
"341","plate20.B8.pilon.contigs_renamed.fasta",80,5877590,73469.88,27742.5,195024,128,505724
"342","plate20.C10.pilon.contigs_renamed.fasta",67,5976515,89201.72,1941,396963,128,802670
"343","plate20.C11.pilon.contigs_renamed.fasta",59,5974007,101254.36,1929,551848,128,1196457
"344","plate20.C12.pilon.contigs_renamed.fasta",45,6061900,134708.89,606,525630,128,1426916
"345","plate20.C1.pilon.contigs_renamed.fasta",2199,7272949,3307.39,357,354097,128,926683
"346","plate20.C2.pilon.contigs_renamed.fasta",105,6006966,57209.2,1006,334043,128,666131
"347","plate20.C3.pilon.contigs_renamed.fasta",69,5977823,86635.12,792,448870,128,1280290
"348","plate20.C4.pilon.contigs_renamed.fasta",45,6080889,135130.87,4988,442731,128,867831
"349","plate20.C5.pilon.contigs_renamed.fasta",92,6024096,65479.3,1720,278994,128,812487
"350","plate20.C7.pilon.contigs_renamed.fasta",102,5994028,58764.98,15746,162686,128,470726
"351","plate20.C9.pilon.contigs_renamed.fasta",34,6052968,178028.47,46121.5,486280,128,658177
"352","plate20.D10.pilon.contigs_renamed.fasta",52,5880088,113078.62,51742,237144,128,806612
"353","plate20.D11.pilon.contigs_renamed.fasta",60,5972468,99541.13,16269.5,306820,128,592449
"354","plate20.D12.pilon.contigs_renamed.fasta",52,6062156,116579.92,1787,374661,128,873923
"355","plate20.D1.pilon.contigs_renamed.fasta",73,5954195,81564.32,358,511363,128,1470167
"356","plate20.D2.pilon.contigs_renamed.fasta",85,5993464,70511.34,13770,243374,128,666131
"357","plate20.D3.pilon.contigs_renamed.fasta",61,5975502,97959.05,3783,433902,128,1004681
"358","plate20.D4.pilon.contigs_renamed.fasta",38,6080009,160000.24,61233,607680,128,971038
"360","plate20.D7.pilon.contigs_renamed.fasta",95,5992332,63077.18,27344,157158,128,472928
"361","plate20.D8.pilon.contigs_renamed.fasta",68,5873861,86380.31,49965.5,195355,128,434812
"362","plate20.E10.pilon.contigs_renamed.fasta",44,6055779,137631.34,63534,311050,128,649925
"363","plate20.E11.pilon.contigs_renamed.fasta",82,5982501,72957.33,571,311113,128,1224195
"364","plate20.E12.pilon.contigs_renamed.fasta",56,6065137,108306.02,539.5,568860,128,760059
"365","plate20.E1.pilon.contigs_renamed.fasta",79,5956013,75392.57,369,320472,128,683698
"366","plate20.E2.pilon.contigs_renamed.fasta",107,6003529,56107.75,2798,198621,128,642221
"367","plate20.E3.pilon.contigs_renamed.fasta",86,5982194,69560.4,392,473776,128,774409
"368","plate20.E4.pilon.contigs_renamed.fasta",59,6079328,103039.46,1448,308095,128,708338
"369","plate20.E5.pilon.contigs_renamed.fasta",90,5980798,66453.31,15158,186100,128,446712
"370","plate20.E7.pilon.contigs_renamed.fasta",80,5903819,73797.74,11435.5,226276,128,694246
"371","plate20.E8.pilon.contigs_renamed.fasta",67,5875696,87696.96,43382,221118,128,516861
"372","plate20.E9.pilon.contigs_renamed.fasta",55,6057522,110136.76,49055,282294,128,568708
"373","plate20.F10.pilon.contigs_renamed.fasta",46,6055523,131641.8,78615.5,275642,128,598295
"374","plate20.F11.pilon.contigs_renamed.fasta",55,5975046,108637.2,2448,488082,128,813459
"375","plate20.F12.pilon.contigs_renamed.fasta",45,6062560,134723.56,1977,476361,128,1068228
"376","plate20.F1.pilon.contigs_renamed.fasta",70,5955310,85075.86,359.5,508223,128,927437
"377","plate20.F2.pilon.contigs_renamed.fasta",87,5992823,68883.02,13373,188103,128,498216
"378","plate20.F3.pilon.contigs_renamed.fasta",55,5976024,108654.98,1673,643130,128,895518
"379","plate20.F4.pilon.contigs_renamed.fasta",41,6079242,148274.2,77402,289565,128,910294
"381","plate20.F8.pilon.contigs_renamed.fasta",70,5876493,83949.9,46278,195303,128,505835
"382","plate20.F9.pilon.contigs_renamed.fasta",55,5880185,106912.45,47504,238202,128,896906
"383","plate20.G10.pilon.contigs_renamed.fasta",49,6055932,123590.45,44318,320828,128,873398
"384","plate20.G11.pilon.contigs_renamed.fasta",62,5977140,96405.48,1801,545046,128,926365
"385","plate20.G12.pilon.contigs_renamed.fasta",51,6063196,118886.2,3173,421523,128,684105
"386","plate20.G1.pilon.contigs_renamed.fasta",68,5953210,87547.21,410.5,623599,128,1495897
"387","plate20.G2.pilon.contigs_renamed.fasta",99,6002200,60628.28,5554,229450,128,449410
"388","plate20.G3.pilon.contigs_renamed.fasta",63,5975261,94845.41,4336,396769,128,796995
"389","plate20.G4.pilon.contigs_renamed.fasta",47,6073586,129225.23,54183,248769,128,883741
"391","plate20.G7.pilon.contigs_renamed.fasta",106,5994732,56554.08,11022.5,162686,128,470726
"392","plate20.G8.pilon.contigs_renamed.fasta",66,5873737,88996.02,48094,195289,128,411263
"393","plate20.G9.pilon.contigs_renamed.fasta",48,6055778,126162.04,73732.5,292509,128,753050
"394","plate20.H10.pilon.contigs_renamed.fasta",56,5977832,106747,1327,592518,128,1025721
"395","plate20.H11.pilon.contigs_renamed.fasta",73,5978746,81900.63,588,473826,128,1327732
"396","plate20.H12.pilon.contigs_renamed.fasta",64,6068507,94820.42,333,540445,128,1099386
"397","plate20.H1.pilon.contigs_renamed.fasta",106,5967251,56294.82,328.5,730672,128,1464116
"398","plate20.H2.pilon.contigs_renamed.fasta",113,6010139,53187.07,554,254320,128,680824
"399","plate20.H3.pilon.contigs_renamed.fasta",70,5981193,85445.61,426.5,528368,128,725721
"400","plate20.H4.pilon.contigs_renamed.fasta",55,6086819,110669.44,387,942790,128,1388077
"401","plate20.H5.pilon.contigs_renamed.fasta",96,5984932,62343.04,6115.5,163411,128,446691
"402","plate20.H7.pilon.contigs_renamed.fasta",115,6000135,52175.09,2029,186866,128,397471
"403","plate20.H8.pilon.contigs_renamed.fasta",77,5879692,76359.64,13933,233327,128,537298
"404","plate20.H9.pilon.contigs_renamed.fasta",67,5979598,89247.73,443,448870,128,1469002
"405","plate21.A10.pilon.contigs_renamed.fasta",46,5950674,129362.48,18900,714674,128,755295
"406","plate21.A11.pilon.contigs_renamed.fasta",42,5970999,142166.64,19498,534230,128,930587
"407","plate21.A12.pilon.contigs_renamed.fasta",82,5877889,71681.57,14682.5,255500,128,870959
"408","plate21.A1.pilon.contigs_renamed.fasta",67,5969350,89094.78,3335,310712,128,748379
"409","plate21.A2.pilon.contigs_renamed.fasta",72,5999227,83322.6,28704.5,209717,128,795044
"410","plate21.A3.pilon.contigs_renamed.fasta",66,5988449,90734.08,1493,319684,128,875460
"411","plate21.A4.pilon.contigs_renamed.fasta",23,6076487,264195.09,77400,890185,128,1219932
"412","plate21.A5.pilon.contigs_renamed.fasta",48,6059391,126237.31,9138.5,405695,128,1091471
"413","plate21.A7.pilon.contigs_renamed.fasta",48,6100864,127101.33,19181,355240,128,822019
"414","plate21.A8.pilon.contigs_renamed.fasta",40,6055725,151393.12,38551,381100,128,760059
"415","plate21.A9.pilon.contigs_renamed.fasta",35,6059002,173114.34,52079,568859,128,887905
"416","plate21.B10.pilon.contigs_renamed.fasta",105,6950989,66199.9,31434,170656,128,1100619
"417","plate21.B11.pilon.contigs_renamed.fasta",37,5970067,161353.16,50553,648076,128,916131
"418","plate21.B12.pilon.contigs_renamed.fasta",50,5874444,117488.88,29931.5,421617,128,888258
"419","plate21.B1.pilon.contigs_renamed.fasta",67,5966392,89050.63,31631,260663,128,748139
"420","plate21.B2.pilon.contigs_renamed.fasta",55,5945247,108095.4,42607,346881,128,1213832
"421","plate21.B3.pilon.contigs_renamed.fasta",71,5987741,84334.38,19995,196746,128,520008
"422","plate21.B4.pilon.contigs_renamed.fasta",30,6075107,202503.57,180571,322611,128,708533
"423","plate21.B5.pilon.contigs_renamed.fasta",46,6081168,132199.3,31615.5,438808,128,648888
"424","plate21.B7.pilon.contigs_renamed.fasta",41,6100429,148790.95,21438,541358,128,1426916
"425","plate21.B8.pilon.contigs_renamed.fasta",48,6055842,126163.38,28872.5,366742,128,760058
"426","plate21.B9.pilon.contigs_renamed.fasta",37,6056538,163690.22,42748,478725,128,1203010
"427","plate21.C10.pilon.contigs_renamed.fasta",105,5970970,56866.38,341,481458,128,798895
"428","plate21.C11.pilon.contigs_renamed.fasta",52,5970773,114822.56,45488.5,301724,128,655416
"429","plate21.C12.pilon.contigs_renamed.fasta",45,5874832,130551.82,28469,545654,128,888258
"430","plate21.C1.pilon.contigs_renamed.fasta",63,5904848,93727.75,395,390497,128,805793
"431","plate21.C2.pilon.contigs_renamed.fasta",41,5943681,144967.83,62887,410321,128,1514550
"432","plate21.C3.pilon.contigs_renamed.fasta",64,5988062,93563.47,5417,309459,128,536778
"433","plate21.C4.pilon.contigs_renamed.fasta",17,6075150,357361.76,245616,676513,128,1437556
"434","plate21.C5.pilon.contigs_renamed.fasta",30,6077679,202589.3,53452,779870,128,1313048
"435","plate21.C7.pilon.contigs_renamed.fasta",41,6100209,148785.59,34059,405695,128,658327
"436","plate21.C8.pilon.contigs_renamed.fasta",37,6051279,163548.08,101816,324910,128,658275
"437","plate21.C9.pilon.contigs_renamed.fasta",45,6058234,134627.42,88388,292501,128,757647
"438","plate21.D10.pilon.contigs_renamed.fasta",56,5944766,106156.54,52057,276383,128,552810
"439","plate21.D11.pilon.contigs_renamed.fasta",53,5972662,112691.74,30220,291667,128,1489444
"440","plate21.D1.pilon.contigs_renamed.fasta",56,5968059,106572.48,25562,378616,128,748379
"441","plate21.D2.pilon.contigs_renamed.fasta",94,5994769,63774.14,20269,197319,128,429940
"442","plate21.D3.pilon.contigs_renamed.fasta",70,5986233,85517.61,19646.5,231755,128,666942
"443","plate21.D4.pilon.contigs_renamed.fasta",73,6074547,83212.97,42934,168150,128,621151
"444","plate21.D5.pilon.contigs_renamed.fasta",44,6056786,137654.23,48918,406194,128,864563
"445","plate21.D7.pilon.contigs_renamed.fasta",39,6098400,156369.23,67522,309918,128,864738
"446","plate21.D8.pilon.contigs_renamed.fasta",42,6052626,144110.14,66896,300042,128,1043523
"447","plate21.D9.pilon.contigs_renamed.fasta",46,6055806,131647.96,55628,311373,128,864657
"448","plate21.E10.pilon.contigs_renamed.fasta",47,5945641,126503,44477,317682,128,822649
"449","plate21.E11.pilon.contigs_renamed.fasta",47,5970677,127035.68,34580,655404,128,942135
"450","plate21.E12.pilon.contigs_renamed.fasta",50,5874179,117483.58,29372,305773,128,763995
"451","plate21.E1.pilon.contigs_renamed.fasta",69,5968663,86502.36,26304,328571,128,748379
"452","plate21.E2.pilon.contigs_renamed.fasta",65,5996367,92251.8,31823,239212,128,811819
"453","plate21.E3.pilon.contigs_renamed.fasta",49,5984552,122133.71,25278,324793,128,875338
"454","plate21.E4.pilon.contigs_renamed.fasta",15,6074563,404970.87,194821,890184,128,1325310
"455","plate21.E5.pilon.contigs_renamed.fasta",30,6077043,202568.1,107409,445931,128,1219919
"456","plate21.E7.pilon.contigs_renamed.fasta",47,6131099,130448.91,34058,401856,128,606131
"457","plate21.E8.pilon.contigs_renamed.fasta",33,6058238,183582.97,38360,478957,128,1021309
"458","plate21.E9.pilon.contigs_renamed.fasta",39,6053389,155215.1,104741,292371,128,568707
"459","plate21.F10.pilon.contigs_renamed.fasta",47,5950199,126599.98,7572,440911,128,913738
"460","plate21.F11.pilon.contigs_renamed.fasta",48,5970912,124394,23154,493914,128,775238
"461","plate21.F12.pilon.contigs_renamed.fasta",45,5873112,130513.6,42426,462289,128,742748
"462","plate21.F1.pilon.contigs_renamed.fasta",64,5904715,92261.17,402,554170,128,913300
"463","plate21.F2.pilon.contigs_renamed.fasta",85,5993974,70517.34,25400,173728,128,755237
"464","plate21.F3.pilon.contigs_renamed.fasta",52,5986285,115120.87,21900,315977,128,1048332
"465","plate21.F4.pilon.contigs_renamed.fasta",33,6077976,184181.09,45225,486836,128,916070
"466","plate21.F5.pilon.contigs_renamed.fasta",43,6059420,140916.74,35074,413799,128,848013
"467","plate21.F7.pilon.contigs_renamed.fasta",40,6099423,152485.58,41968.5,377814,128,640828
"468","plate21.F8.pilon.contigs_renamed.fasta",38,6056073,159370.34,52443.5,475373,128,713119
"469","plate21.F9.pilon.contigs_renamed.fasta",210,6123943,29161.63,336,330318,128,773043
"470","plate21.G10.pilon.contigs_renamed.fasta",45,5949773,132217.18,65186,440911,128,714674
"471","plate21.G11.pilon.contigs_renamed.fasta",40,5969961,149249.02,18446,511533,128,915147
"472","plate21.G12.pilon.contigs_renamed.fasta",50,5873813,117476.26,33539.5,371210,128,888258
"473","plate21.G1.pilon.contigs_renamed.fasta",71,5971064,84099.49,1356,329915,128,720688
"474","plate21.G2.pilon.contigs_renamed.fasta",41,5943502,144963.46,103489,308155,128,683598
"475","plate21.G3.pilon.contigs_renamed.fasta",62,5990365,96618.79,1698.5,319497,128,1056161
"476","plate21.G4.pilon.contigs_renamed.fasta",35,6073991,173542.6,144394,331571,128,528653
"477","plate21.G5.pilon.contigs_renamed.fasta",36,6057559,168265.53,64789.5,544559,128,768699
"478","plate21.G7.pilon.contigs_renamed.fasta",46,6099504,132597.91,23927.5,321860,128,1024134
"479","plate21.G8.pilon.contigs_renamed.fasta",35,6054220,172977.71,83015,376983,128,976033
"480","plate21.G9.pilon.contigs_renamed.fasta",47,6057329,128879.34,42890,451210,128,844839
"481","plate21.H10.pilon.contigs_renamed.fasta",69,5946692,86183.94,24194,300791,128,505330
"482","plate21.H11.pilon.contigs_renamed.fasta",46,5971228,129809.3,2741,534206,128,915147
"483","plate21.H12.pilon.contigs_renamed.fasta",47,5875135,125002.87,18111,574035,128,1031818
"484","plate21.H1.pilon.contigs_renamed.fasta",66,5972608,90494.06,447,336617,128,588415
"485","plate21.H2.pilon.contigs_renamed.fasta",73,5993644,82104.71,36610,182643,128,852108
"486","plate21.H3.pilon.contigs_renamed.fasta",56,5986365,106899.38,15069,324798,128,637662
"487","plate21.H4.pilon.contigs_renamed.fasta",27,6076283,225047.52,77301,703849,128,1260790
"488","plate21.H5.pilon.contigs_renamed.fasta",42,6058367,144246.83,27766.5,525744,128,871331
"489","plate21.H7.pilon.contigs_renamed.fasta",50,6099247,121984.94,49462,378996,128,821943
"490","plate21.H8.pilon.contigs_renamed.fasta",33,6058085,183578.33,42824,400331,128,1426915
"491","plate21.H9.pilon.contigs_renamed.fasta",38,6057993,159420.87,42874,616228,128,823419
"492","plate22.A1.pilon.contigs_renamed.fasta",50,6016956,120339.12,1432.5,1029781,128,1303326
"493","plate22.A2.pilon.contigs_renamed.fasta",49,5958097,121593.82,69901,285149,128,676942
"494","plate22.A3.pilon.contigs_renamed.fasta",34,5943716,174815.18,916,730710,128,1515491
"495","plate22.A4.pilon.contigs_renamed.fasta",51,5994697,117543.08,29087,371337,128,795083
"496","plate22.A5.pilon.contigs_renamed.fasta",39,5982282,153391.85,90783,315988,128,977641
"497","plate22.A7.pilon.contigs_renamed.fasta",43,5983143,139142.86,95035,324798,128,663360
"498","plate22.A8.pilon.contigs_renamed.fasta",52,5984247,115081.67,29366.5,324778,128,536744
"499","plate22.B1.pilon.contigs_renamed.fasta",45,5973298,132739.96,1673,592518,128,1029560
"500","plate22.B2.pilon.contigs_renamed.fasta",48,5957528,124115.17,72114,247657,128,809686
"501","plate22.B3.pilon.contigs_renamed.fasta",51,6015026,117941.69,7662,457240,128,1054487
"502","plate22.B4.pilon.contigs_renamed.fasta",62,5991284,96633.61,32883.5,306388,128,851824
"503","plate22.B5.pilon.contigs_renamed.fasta",52,5983454,115066.42,66275,231530,128,764232
"504","plate22.B7.pilon.contigs_renamed.fasta",49,5983845,122119.29,33576,324798,128,666161
"505","plate22.B8.pilon.contigs_renamed.fasta",39,5910776,151558.36,18738,564570,128,1451238
"506","plate22.C1.pilon.contigs_renamed.fasta",69,5913899,85708.68,21307,311455,128,882675
"507","plate22.C2.pilon.contigs_renamed.fasta",68,5955867,87586.28,48147.5,188506,128,658033
"508","plate22.C3.pilon.contigs_renamed.fasta",42,6057400,144223.81,80548,285692,128,864753
"509","plate22.C4.pilon.contigs_renamed.fasta",31,5918915,190932.74,75208,694707,128,848640
"510","plate22.C5.pilon.contigs_renamed.fasta",51,5981159,117277.63,69178,231755,128,530444
"511","plate22.C7.pilon.contigs_renamed.fasta",39,5984123,153439.05,84134,324798,128,1272298
"512","plate22.C8.pilon.contigs_renamed.fasta",40,5909866,147746.65,50399.5,513716,128,914208
"520","plate22.E1.pilon.contigs_renamed.fasta",50,6015525,120310.5,3393,567607,128,726359
"521","plate22.E2.pilon.contigs_renamed.fasta",44,5958750,135426.14,74294,255107,128,809874
"522","plate22.E3.pilon.contigs_renamed.fasta",61,5988648,98174.56,25527,311164,128,660006
"523","plate22.E4.pilon.contigs_renamed.fasta",48,5982606,124637.62,69623,246117,128,666942
"524","plate22.E5.pilon.contigs_renamed.fasta",39,5982257,153391.21,84257,319684,128,669483
"525","plate22.E7.pilon.contigs_renamed.fasta",30,5909556,196985.2,68496,555519,128,1109242
"526","plate22.F1.pilon.contigs_renamed.fasta",59,5976847,101302.49,1664,448870,128,1054469
"527","plate22.F2.pilon.contigs_renamed.fasta",34,5958238,175242.29,84867.5,463503,128,809874
"528","plate22.F3.pilon.contigs_renamed.fasta",64,5995099,93673.42,30566,232492,128,638388
"529","plate22.F4.pilon.contigs_renamed.fasta",51,5986287,117378.18,19193,324798,128,875460
"530","plate22.F5.pilon.contigs_renamed.fasta",38,5984073,157475.61,75367,357926,128,692815
"531","plate22.F7.pilon.contigs_renamed.fasta",30,5911141,197038.03,5619,962068,128,1689218
"532","plate22.G1.pilon.contigs_renamed.fasta",53,5975349,112742.43,1453,592503,128,1253490
"533","plate22.G2.pilon.contigs_renamed.fasta",51,5955395,116772.45,42724,247668,128,809730
"534","plate22.G3.pilon.contigs_renamed.fasta",39,5920513,151808.03,42718,551645,128,848514
"535","plate22.G4.pilon.contigs_renamed.fasta",38,5982151,157425.03,87306.5,385248,128,685226
"536","plate22.G5.pilon.contigs_renamed.fasta",43,5983004,139139.63,44327,324798,128,875459
"537","plate22.G7.pilon.contigs_renamed.fasta",33,5910991,179120.94,18706,609384,128,962068
"538","plate22.H1.pilon.contigs_renamed.fasta",51,5975611,117168.84,1664,701344,128,1196111
"539","plate22.H2.pilon.contigs_renamed.fasta",43,5960412,138614.23,25404,497005,128,809874
"540","plate22.H3.pilon.contigs_renamed.fasta",61,5995998,98295.05,20109,348525,128,781632
"541","plate22.H4.pilon.contigs_renamed.fasta",46,5983980,130086.52,41310.5,324798,128,875460
"542","plate22.H5.pilon.contigs_renamed.fasta",37,5983579,161718.35,66511,410934,128,1043124
"543","plate23.A1.pilon.contigs_renamed.fasta",27,5908050,218816.67,77396,602524,128,1139416
"544","plate23.A2.pilon.contigs_renamed.fasta",56,6058809,108193.02,2291,340193,128,1070008
"545","plate23.A3.pilon.contigs_renamed.fasta",49,6125439,125008.96,406,669432,128,1131274
"546","plate23.A4.pilon.contigs_renamed.fasta",102,6006115,58883.48,955,261184,128,600635
"547","plate23.A5.pilon.contigs_renamed.fasta",101,5821731,57640.9,482,293571,128,780217
"548","plate23.A6.pilon.contigs_renamed.fasta",79,6113007,77379.84,16851,258919,128,471191
"549","plate23.A7.pilon.contigs_renamed.fasta",88,6114604,69484.14,21614,213337,128,442179
"550","plate23.A8.pilon.contigs_renamed.fasta",56,5878498,104973.18,41584.5,297919,128,545836
"551","plate23.A9.pilon.contigs_renamed.fasta",59,5913733,100232.76,26130,231359,128,710304
"552","plate23.B1.pilon.contigs_renamed.fasta",25,5906263,236250.52,179791,440818,128,699179
"553","plate23.B2.pilon.contigs_renamed.fasta",43,5977117,139002.72,32300,388941,128,774962
"554","plate23.B3.pilon.contigs_renamed.fasta",51,5917712,116033.57,48076,386297,128,725095
"555","plate23.B4.pilon.contigs_renamed.fasta",73,5644017,77315.3,541,410003,128,842223
"556","plate23.B5.pilon.contigs_renamed.fasta",69,6113100,88595.65,22591,237548,128,464623
"557","plate23.B6.pilon.contigs_renamed.fasta",79,6113604,77387.39,29204,205643,128,361841
"558","plate23.B7.pilon.contigs_renamed.fasta",59,5881848,99692.34,35537,235378,128,498744
"560","plate23.B9.pilon.contigs_renamed.fasta",58,6065494,104577.48,13911,291363,128,800121
"561","plate23.C1.pilon.contigs_renamed.fasta",22,5907649,268529.5,118852,653579,128,1149219
"562","plate23.C2.pilon.contigs_renamed.fasta",45,5911255,131361.22,86042,255300,128,688788
"563","plate23.C3.pilon.contigs_renamed.fasta",62,5951345,95989.44,38655.5,271827,128,780719
"564","plate23.C4.pilon.contigs_renamed.fasta",89,6114096,68697.71,8372,205662,128,462489
"565","plate23.C5.pilon.contigs_renamed.fasta",76,6112882,80432.66,22217.5,205674,128,464588
"566","plate23.C6.pilon.contigs_renamed.fasta",121,5052107,41752.95,349,333842,128,881073
"567","plate23.C7.pilon.contigs_renamed.fasta",44,5880891,133656.61,31534,502335,128,752810
"568","plate23.C8.pilon.contigs_renamed.fasta",75,6000398,80005.31,51680,183967,128,561057
"569","plate23.C9.pilon.contigs_renamed.fasta",73,6113122,83741.4,16851,224934,128,464612
"570","plate23.D1.pilon.contigs_renamed.fasta",22,5906890,268495,188654,442249,128,1107322
"571","plate23.D2.pilon.contigs_renamed.fasta",58,6002672,103494.34,46586,286539,128,659898
"572","plate23.D3.pilon.contigs_renamed.fasta",57,5948216,104354.67,58737,231542,128,654967
"574","plate23.D5.pilon.contigs_renamed.fasta",77,6113050,79390.26,12722,224934,128,464594
"575","plate23.D6.pilon.contigs_renamed.fasta",60,5875955,97932.58,47549,227767,128,454628
"577","plate23.D8.pilon.contigs_renamed.fasta",47,5724580,121799.57,469,355646,128,939865
"578","plate23.D9.pilon.contigs_renamed.fasta",61,6066913,99457.59,22207,283806,128,800121
"579","plate23.E1.pilon.contigs_renamed.fasta",58,6064637,104562.71,22364,278476,128,712717
"580","plate23.E2.pilon.contigs_renamed.fasta",55,5881069,106928.53,45903,295081,128,502086
"581","plate23.E5.pilon.contigs_renamed.fasta",74,5772663,78008.96,345,589235,128,1064064
"582","plate23.E6.pilon.contigs_renamed.fasta",60,6067273,101121.22,8771,362984,128,800121
"583","plate23.E7.pilon.contigs_renamed.fasta",48,5879095,122481.15,36536,301480,128,536419
"584","plate23.E9.pilon.contigs_renamed.fasta",85,6114900,71940,21844,192528,128,549929
"585","plate23.F1.pilon.contigs_renamed.fasta",67,6070442,90603.61,22199,269997,128,699344
"586","plate23.F2.pilon.contigs_renamed.fasta",55,5880450,106917.27,45885,273815,128,594004
"587","plate23.F4.pilon.contigs_renamed.fasta",37,5761646,155720.16,527,655078,128,1136484
"588","plate23.F5.pilon.contigs_renamed.fasta",63,6057473,96150.37,64647,203296,128,547639
"589","plate23.F6.pilon.contigs_renamed.fasta",56,5874114,104894.89,53614,256905,128,658001
"590","plate23.F9.pilon.contigs_renamed.fasta",60,6051166,100852.77,62856,239600,128,532176
"591","plate23.G1.pilon.contigs_renamed.fasta",74,6065951,81972.31,14124.5,226027,128,800121
"592","plate23.G2.pilon.contigs_renamed.fasta",51,5880181,115297.67,51610,295060,128,695159
"593","plate23.G3.pilon.contigs_renamed.fasta",111,6436082,57982.72,359,564230,128,807882
"595","plate23.G6.pilon.contigs_renamed.fasta",51,5872550,115148.04,60920,310651,128,496877
"596","plate23.G7.pilon.contigs_renamed.fasta",63,6418999,101888.87,403,477273,128,807785
"597","plate23.G9.pilon.contigs_renamed.fasta",76,6108110,80369.87,46691.5,223809,128,401213
"598","plate23.H1.pilon.contigs_renamed.fasta",69,6068683,87951.93,3876,357584,128,799776
"599","plate23.H2.pilon.contigs_renamed.fasta",49,5881077,120021.98,3342,502086,128,733782
"600","plate23.H3.pilon.contigs_renamed.fasta",200,6467352,32336.76,344,574137,128,850561
"601","plate23.H5.pilon.contigs_renamed.fasta",68,6069743,89260.93,1636,375686,128,800121
"602","plate23.H6.pilon.contigs_renamed.fasta",56,5882145,105038.3,2551.5,297915,128,739214
"603","plate23.H7.pilon.contigs_renamed.fasta",96,6433408,67014.67,347.5,564230,128,858652
"604","plate23.H9.pilon.contigs_renamed.fasta",65,6069258,93373.2,3154,377327,128,800121
"606","plate24.A11.pilon.contigs_renamed.fasta",66,5975348,90535.58,2146.5,434928,128,859517
"607","plate24.A12.pilon.contigs_renamed.fasta",55,6061018,110200.33,10263,320797,128,886857
"608","plate24.A1.pilon.contigs_renamed.fasta",81,5988504,73932.15,22284,231201,128,354795
"609","plate24.A3.pilon.contigs_renamed.fasta",65,5970783,91858.2,16822,394376,128,573906
"610","plate24.A4.pilon.contigs_renamed.fasta",33,6079178,184217.52,422,578408,128,818118
"612","plate24.A7.pilon.contigs_renamed.fasta",75,5988195,79842.6,30802,208669,128,470726
"613","plate24.A8.pilon.contigs_renamed.fasta",61,5873393,96285.13,56827,195069,128,537275
"614","plate24.A9.pilon.contigs_renamed.fasta",79,6054127,76634.52,42026,157394,128,524811
"615","plate24.B10.pilon.contigs_renamed.fasta",71,5969588,84078.7,39131,227373,128,498623
"616","plate24.B11.pilon.contigs_renamed.fasta",70,5979285,85418.36,1994.5,445477,128,1004534
"617","plate24.B12.pilon.contigs_renamed.fasta",56,6065504,108312.57,475.5,525939,128,887881
